t,log_t,vth_average
3.7845328472370167e-07,-14.784534344595015,0.9612551527189552
4.01912202795143e-07,-14.724547157803586,0.9620884373123971
4.2682142017677035e-07,-14.664559971012158,0.9629268412562917
4.5327059863741377e-07,-14.60457278422073,0.9637702997666348
4.813549431001568e-07,-14.544585597429302,0.9646187480594222
5.111755443364355e-07,-14.484598410637872,0.9654721213506499
5.428397428464922e-07,-14.424611223846444,0.9663303548563135
5.764615152359952e-07,-14.364624037055016,0.9671933837924092
6.121618844795914e-07,-14.304636850263588,0.9680611433749325
6.500693555481607e-07,-14.24464966347216,0.9689335688198796
6.903203779678287e-07,-14.184662476680732,0.9698105953432461
7.33059836975738e-07,-14.124675289889304,0.9706921581610278
7.784415750405127e-07,-14.064688103097875,0.9715781924892207
8.266289456246538e-07,-14.004700916306447,0.9724686335438208
8.777954011821523e-07,-13.94471372951502,0.9733634165408237
9.321251175078463e-07,-13.884726542723591,0.9742624766962253
9.8981365668589e-07,-13.824739355932163,0.9751657492260215
1.0510686710236474e-06,-13.764752169140735,0.9760731693462081
1.11611065050485e-06,-13.704764982349307,0.9769846722727812
1.1851737164525062e-06,-13.644777795557879,0.9779001932217362
1.2585064642583874e-06,-13.58479060876645,0.9788196674090693
1.3363728582125276e-06,-13.524803421975022,0.9797430300507762
1.419053181653716e-06,-13.464816235183594,0.980670216362853
1.506845045861087e-06,-13.404829048392166,0.9816011615612952
1.6000644613183557e-06,-13.344841861600738,0.9825358008620988
1.699046975206758e-06,-13.28485467480931,0.9834740694812597
1.8041488792211552e-06,-13.22486748801788,0.9844159026347737
1.9157484920568646e-06,-13.164880301226452,0.9853612355386366
2.03424752118363e-06,-13.104893114435024,0.9863100034088444
2.1600725088084333e-06,-13.044905927643596,0.9872621414613928
2.293676367231996e-06,-12.984918740852168,0.988217584912278
2.435540009125529e-06,-12.92493155406074,0.9891762689774952
2.5861740785959903e-06,-12.864944367269311,0.9901381288730409
2.746120789270889e-06,-12.804957180477881,0.9911030998149106
2.9159558760188775e-06,-12.744969993686453,0.9920711170191001
3.09629066733149e-06,-12.684982806895027,0.9930421157016055
3.287774285825598e-06,-12.624995620103599,0.9940160310784224
3.49109598478737e-06,-12.565008433312169,0.994992798365547
3.706987629168276e-06,-12.50502124652074,0.9959723527789749
3.936226329963593e-06,-12.445034059729313,0.9969546295347019
4.179637241455877e-06,-12.385046872937885,0.9979395638487242
4.438096531392297e-06,-12.325059686146457,0.998927090937037
4.712534534787045e-06,-12.265072499355028,0.9999171460156369
5.003939102701098e-06,-12.2050853125636,1.0009096643005193
5.313359158053394e-06,-12.145098125772172,1.00190458100768
5.641908471262702e-06,-12.085110938980744,1.0029018313531153
5.990769669310794e-06,-12.025123752189316,1.0039013505528207
6.361198492657673e-06,-11.965136565397888,1.004903073822792
6.75452831533184e-06,-11.90514937860646,1.0059069363790252
7.1721749444658235e-06,-11.845162191815032,1.0069128734375163
7.615641716553114e-06,-11.785175005023603,1.0079208202142609
8.086524908770706e-06,-11.725187818232174,1.0089307119252546
